year,pr
1979,726.9496
1980,753.0055
1981,761.97784
1982,724.00195
1983,678.45715
1984,846.46606
1985,823.4917
1986,836.765
1987,727.62915
1988,772.0138
1989,840.8566
1990,779.8971
1991,688.65173
1992,727.6069
1993,803.36035
1994,790.9305
1995,697.7642
1996,784.75604
1997,596.50604
1998,769.34033
1999,755.9415
2000,835.0669
2001,795.2028
2002,750.8178
2003,802.3917
2004,799.8933
2005,675.9819
2006,764.10004
2007,767.248
2008,757.942
2009,746.005
2010,706.9991
2011,769.88904
2012,740.6698
2013,865.8498
2014,815.62775
2015,661.69006
2016,805.54175
2017,748.36926
2018,814.7245
2019,784.8179
2020,712.2324
2021,823.297
2022,805.8201
2023,598.7396
