year,djf,jfm,fma,mam
1855,-0.7162654,-0.17388725,0.16864714,0.33181065
1856,0.45945233,0.3811868,0.22529285,0.13948505
1857,-2.1700592,-1.711539,-1.2349861,-0.503088
1858,-0.061236702,0.0019753776,0.038366318,0.16806602
1859,-0.3088379,-0.3168316,-0.45745343,-0.37943143
1860,-0.95276964,-1.0454515,-0.95757234,-0.628088
1861,-1.4467005,-1.1359857,-0.8895925,-0.56074846
1862,-0.7507019,-0.81455106,-0.84505653,-0.8470828
1863,-0.9390882,-0.95609415,-0.82214487,-0.5289148
1864,-0.8019066,-0.53126335,-0.3570684,-0.1741085
1865,-0.80821675,-0.6637211,-0.5746683,-0.3731855
1866,-0.98615074,-0.966109,-0.75602025,-0.40847462
1867,-0.75245476,-0.72567624,-0.575971,-0.41830763
1868,-0.43647003,-0.4672184,-0.55814046,-0.490757
1869,-0.9135971,-0.7998511,-0.62120056,-0.4502163
1870,-1.7215793,-1.7628429,-1.7978287,-1.460626
1871,-1.0734527,-0.8241501,-0.45150313,-0.06571325
1872,-0.8678036,-0.9465599,-0.8041223,-0.54788464
1873,-1.3889339,-1.2993101,-0.9517034,-0.5164503
1874,-1.2820543,-1.3795027,-1.2037582,-0.78175926
1875,-0.9626147,-0.73210335,-0.5832183,-0.3150921
1876,-0.8632997,-0.8155041,-0.9417502,-0.8079014
1877,0.2893251,0.50859964,0.6263695,0.72605455
1878,1.5801964,1.2015781,1.063879,0.90914536
1879,-1.153403,-0.8246727,-0.4905383,-0.39902815
1880,-1.3837465,-1.2066282,-0.9223194,-0.3798434
1881,-0.10548782,0.01382637,0.09768677,0.26915678
1882,-0.4323705,-0.3369624,0.09899648,0.47054863
1883,-0.6270415,-0.1727651,0.31180638,0.49902028
1884,-0.0244236,0.031344734,0.23259863,0.45015526
1885,0.24841373,0.14465651,0.102996826,0.25866446
1886,0.1567707,-0.25654095,-0.47114563,-0.5328776
1887,-2.0721195,-1.759074,-1.2440078,-0.6585528
