"year","nino_6m"
"1854",-0.575594053333333
"1855",0.438848061
"1856",-1.45246411
"1857",0.058917995
"1858",-0.206527025
"1859",-0.040760445
"1860",-0.433950522833333
"1861",-0.57249794
"1862",-0.966001263333333
"1863",-0.418853488333333
"1864",-0.440755428333333
"1865",-0.3898894
"1866",-0.460843426
"1867",-0.57117047
"1868",-0.521381898333333
"1869",-1.24701557333333
"1870",-1.04115677666667
"1871",-0.00402195566666666
"1872",-0.739949008333333
"1873",-0.127266521666667
"1874",-0.797406625
"1875",-0.65893758
"1876",0.173938591666667
"1877",1.30697491
"1878",-0.965804673333333
"1879",-0.99145648
"1880",0.195204536666667
"1881",-0.112196844
"1882",-0.565914738233333
"1883",0.0562357355
"1884",0.352968494666667
"1885",0.623510403333333
"1886",-1.036626985
"1887",-0.0640809058333333
"1888",1.09020750666667
"1889",-1.28045715833333
"1890",-0.444350292166667
"1891",0.1330878225
"1892",-0.844655156666667
"1893",-0.8862368
"1894",-0.655644193333333
"1895",0.207884781666667
"1896",0.987734066666667
"1897",-0.483198858333333
"1898",-0.554411936666667
"1899",0.378502001666667
"1900",0.2269108305
"1901",-0.369014123333333
"1902",1.78675614
"1903",-0.654117493333333
"1904",0.455116216666667
"1905",1.31041172833333
"1906",-0.435669771666667
"1907",0.124823253333333
"1908",-0.281874468333333
"1909",-0.623858596666667
"1910",-0.677385461666667
"1911",0.900671235
"1912",-0.192763481666667
"1913",0.340888252666667
"1914",1.03923496
"1915",-0.404491701
"1916",-0.84883948
"1917",-1.03481324166667
"1918",0.86661333
"1919",0.104481229
"1920",0.211049936666667
"1921",0.3007909435
"1922",-0.722848516666667
"1923",0.560999918166667
"1924",-0.931372028333333
"1925",0.425734401666667
"1926",-0.452084776166667
"1927",-0.011375735
"1928",-0.0167304783333334
"1929",0.161934926666667
"1930",0.898960225
"1931",-0.400506081666667
"1932",-0.0165073826666667
"1933",-1.07267690833333
"1934",-0.209375126666667
"1935",-0.041387419
"1936",-0.243565125916667
"1937",-0.0987284967116667
"1938",-1.09253173333333
"1939",0.0204194733333334
"1940",0.5613316974
"1941",0.284168292166667
"1942",-1.36640179333333
"1943",-0.313165203333333
"1944",-0.638719906666667
"1945",-1.04186504666667
"1946",-0.833512766666667
"1947",-0.518814931666667
"1948",-0.721151938333333
"1949",-0.590587701666667
"1950",-0.448285688333333
"1951",0.557232492333333
"1952",-0.171473869166667
"1953",0.44924254
"1954",-0.64666362
"1955",-0.922345373333333
"1956",-0.405694466666667
"1957",0.917384703333333
"1958",0.159929788433333
"1959",-0.35484006
"1960",-0.0671206293333333
"1961",-0.20002296805
"1962",-0.361447189233333
"1963",0.625992696666667
"1964",-0.711545486666667
"1965",1.278929075
"1966",-0.0573521483333333
"1967",-0.0487139333333333
"1968",0.376776643333333
"1969",0.266269011666667
"1970",-0.659974173333333
"1971",-0.54409387
"1972",1.18823580333333
"1973",-1.43373378333333
"1974",-0.462789894
"1975",-0.973872491666666
"1976",0.495951168333333
"1977",0.424486786666667
"1978",-0.309675416666667
"1979",0.037797925
"1980",-0.0533491816666667
"1981",-0.325063043833333
"1982",1.14657229666667
"1983",-0.5106335445
"1984",-0.462403005
"1985",-0.378567165
"1986",0.431773546666667
"1987",0.946693045
"1988",-1.51698696666667
"1989",-0.388915626666667
"1990",0.103658376666667
"1991",0.672844984333333
"1992",0.0954619023333333
"1993",0.204197541633333
"1994",0.613056266
"1995",-0.666676403333333
"1996",-0.3619699395
"1997",1.55320656666667
"1998",-1.28496818333333
"1999",-1.03833167666667
"2000",-0.558766945
"2001",-0.2325747485
"2002",0.823899148333333
"2003",-0.0551369476666667
"2004",0.452432621666667
"2005",-0.272462146
"2006",0.207316859833333
"2007",-0.934486205
"2008",-0.440787051
"2009",0.342857918333333
"2010",-1.41202633333333
"2011",-0.706042976666667
"2012",0.0804780285
"2013",-0.407240035
"2014",-0.0741007166666667
"2015",1.32926805833333
"2016",-0.964720245
"2017",-0.616881541666667
"2018",0.146346772666667
"2019",-0.0688871428333333
"2020",-1.08218480833333
"2021",-0.835803423333333
"2022",-0.992510066666667
"2023",0.67738943
